Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
590	-4080.103	-4081.608	1.505397	0.4286674	0.143157	0.382859	0.477894	0.334831	0.204499	0.171485	0.127897	0.22783	0.0525698	0.0727807	0.0691724	0.114619	0.205776	0.0756318	0.192588	0.12139	0.0552753	0.492768	0.0623467	0.339832	0.293829	0.141142	0.225197	0.021058	0.202827	0.760528	3.01559	2.585369
600	-4089.711	-4085.923	-3.787139	0.3198759	0.12895	0.564336	0.605765	0.455501	0.186444	0.248258	0.173274	0.30377	0.0282795	0.0356699	0.0262119	0.140904	0.217258	0.101025	0.300227	0.0900641	0.0536161	0.430608	0.02446	0.347639	0.305735	0.121693	0.224933	0.00704545	0.120019	0.62772	3.24522	3.114623
610	-4089.27	-4085.173	-4.097592	0.3063548	0.0924038	0.454157	0.519728	0.425647	0.187302	0.262543	0.198282	0.275546	0.0582365	0.133636	0.122809	0.0848446	0.330533	0.0799719	0.323196	0.075175	0.0408952	0.46353	0.0172321	0.362609	0.291347	0.113817	0.232227	0.00582495	0.109447	0.606322	3.27841	3.145668
620	-4087.314	-4086.356	-0.9584509	0.3020517	0.108963	0.525078	0.519565	0.375951	0.28124	0.236205	0.171405	0.187887	0.0263048	0.11661	0.0735373	0.0960456	0.112962	0.0890321	0.298441	0.104632	0.0483867	0.377534	0.0819737	0.337995	0.294808	0.118771	0.248426	0.00546322	0.106092	0.599232	3.28921	2.831754
630	-4086.575	-4082.171	-4.404641	0.3410543	0.171964	0.483712	0.466993	0.52075	0.28124	0.151685	0.192318	0.309188	0.0861915	0.0805491	0.0351348	0.21347	0.183177	0.0855146	0.223247	0.0872728	0.0326256	0.521557	0.0497832	0.331929	0.291281	0.12571	0.251081	0.00920791	0.136586	0.658726	3.19548	3.176373
640	-4087.881	-4080.798	-7.083585	0.3598881	0.189171	0.559425	0.531673	0.632084	0.2481	0.213869	0.143461	0.222775	0.101533	0.0836276	0.0681023	0.145407	0.305041	0.086383	0.21301	0.0698008	0.0596322	0.527275	0.0438988	0.349886	0.273987	0.12995	0.246177	0.0113782	0.151224	0.683953	3.15344	3.444267
650	-4087.797	-4079.782	-8.015413	0.3034378	0.161171	0.610802	0.710429	0.393095	0.364861	0.183777	0.124059	0.262708	0.144707	0.13543	0.0611184	0.110566	0.274727	0.0596011	0.305219	0.0792504	0.0502224	0.47407	0.0316371	0.333641	0.293898	0.123917	0.248544	0.00557832	0.107172	0.601531	3.28572	3.53745
660	-4084.353	-4083.286	-1.066814	0.353875	0.117742	0.467821	0.511097	0.333628	0.261178	0.134807	0.130028	0.148688	0.0369975	0.13543	0.0828773	0.167133	0.315164	0.0761518	0.233759	0.115389	0.0417759	0.504906	0.028018	0.349752	0.290832	0.128711	0.230705	0.0106608	0.146565	0.676125	3.16665	2.84259
670	-4080.402	-4079.044	-1.357269	0.3277229	0.168735	0.402672	0.545742	0.422802	0.277556	0.20497	0.188926	0.212313	0.0369975	0.0836199	0.0739379	0.0958571	0.157509	0.0776766	0.193606	0.10161	0.0300499	0.533809	0.0632495	0.354487	0.276762	0.136165	0.232586	0.00781145	0.126162	0.639553	3.22647	2.871636
680	-4082.538	-4080.43	-2.108058	0.3304891	0.169139	0.463967	0.555911	0.334432	0.207731	0.20497	0.168076	0.325369	0.0726612	0.0854422	0.185463	0.0427596	0.130794	0.0894643	0.188488	0.0913402	0.0238913	0.544149	0.0626667	0.359908	0.279578	0.133204	0.22731	0.00809145	0.128328	0.643626	3.21996	2.946714
690	-4082.177	-4079.468	-2.709335	0.3654686	0.143405	0.568837	0.471998	0.397659	0.257503	0.190366	0.23202	0.228113	0.068551	0.148268	0.0969956	0.0816726	0.121454	0.105457	0.260112	0.0850315	0.0469283	0.461158	0.0413126	0.335135	0.294547	0.119661	0.250657	0.0120641	0.155531	0.691037	3.14137	3.006842
700	-4080.17	-4084.448	4.277576	0.3635868	0.106471	0.359492	0.313892	0.408374	0.203847	0.192091	0.140559	0.153874	0.0456893	0.0491566	0.102575	0.0388372	0.193292	0.100473	0.247817	0.080587	0.0556955	0.483177	0.0322505	0.345902	0.297762	0.119885	0.236451	0.0118307	0.154081	0.688667	3.14542	2.308151
710	-4082.681	-4084.259	1.578036	0.3963492	0.165294	0.419626	0.519845	0.304611	0.339679	0.158891	0.110889	0.153874	0.0453161	0.128514	0.0740407	0.0193282	0.138196	0.0840019	0.244283	0.113428	0.0632675	0.456728	0.0382912	0.326872	0.302506	0.128637	0.241985	0.0161913	0.179024	0.7273	3.07749	2.578105
720	-4081.548	-4084.266	2.717549	0.3854816	0.167974	0.377486	0.423519	0.310822	0.232842	0.180892	0.133581	0.181521	0.0246547	0.128514	0.135129	0.0360499	0.131169	0.134127	0.246208	0.0916118	0.0430846	0.471586	0.0133825	0.330237	0.307686	0.136378	0.225699	0.0146768	0.17083	0.71508	3.09941	2.464154
730	-4082.842	-4085.647	2.804787	0.3409225	0.141815	0.465194	0.351737	0.331414	0.226337	0.168863	0.170231	0.198823	0.000946386	0.085975	0.130006	0.0236344	0.160454	0.127932	0.192023	0.113186	0.0390979	0.506946	0.0208143	0.315986	0.287514	0.16476	0.23174	0.00919353	0.136483	0.658542	3.19578	2.45543
740	-4079.605	-4082.006	2.400447	0.3383323	0.149989	0.409895	0.410265	0.391055	0.262176	0.13573	0.0998482	0.198823	0.0314741	0.085975	0.101138	0.0687955	0.150701	0.10429	0.228531	0.121585	0.0299212	0.489096	0.0265772	0.312439	0.305323	0.142967	0.23927	0.00891319	0.13446	0.654903	3.20172	2.495864
