Iteration	Posterior	Likelihood	Prior	T
3690	-1291.359	-1288.363	-2.995732	9.738006
3700	-1291.409	-1288.414	-2.995732	10.45177
3710	-1291.369	-1288.373	-2.995732	9.967273
3720	-1291.355	-1288.359	-2.995732	9.531957
3730	-1291.371	-1288.375	-2.995732	8.980186
3740	-1291.504	-1288.509	-2.995732	7.995512
3750	-1291.379	-1288.383	-2.995732	10.11148
3760	-1291.484	-1288.488	-2.995732	8.096323
3770	-1292.556	-1289.56	-2.995732	14.63533
3780	-1291.581	-1288.585	-2.995732	11.53404
3790	-1291.39	-1288.394	-2.995732	10.25106
3800	-1292.888	-1289.892	-2.995732	15.41601
3810	-1293.115	-1290.119	-2.995732	5.070278
3820	-1292.256	-1289.26	-2.995732	6.135045
3830	-1291.361	-1288.365	-2.995732	9.171288
3840	-1291.444	-1288.449	-2.995732	10.73913
3850	-1291.401	-1288.405	-2.995732	8.636125
3860	-1292.142	-1289.146	-2.995732	13.53763
3870	-1292.163	-1289.167	-2.995732	13.59786
3880	-1291.613	-1288.618	-2.995732	11.68689
3890	-1293.245	-1290.249	-2.995732	4.944504
3900	-1292.031	-1289.036	-2.995732	6.525218
3910	-1291.565	-1288.569	-2.995732	7.741246
3920	-1292.449	-1289.453	-2.995732	14.36727
3930	-1292.144	-1289.148	-2.995732	6.320464
3940	-1291.357	-1288.361	-2.995732	9.653805
3950	-1291.552	-1288.556	-2.995732	11.38811
3960	-1292.209	-1289.213	-2.995732	6.210889
3970	-1291.356	-1288.36	-2.995732	9.339791
3980	-1291.902	-1288.906	-2.995732	6.789259
3990	-1291.603	-1288.607	-2.995732	7.600397
4000	-1291.593	-1288.597	-2.995732	11.59131
4010	-1292.698	-1289.702	-2.995732	14.97734
4020	-1291.661	-1288.665	-2.995732	11.8944
4030	-1291.6	-1288.604	-2.995732	11.62294
4040	-1292.637	-1289.641	-2.995732	14.83209
4050	-1295.025	-1292.029	-2.995732	19.49675
4060	-1291.623	-1288.627	-2.995732	11.72931
4070	-1291.406	-1288.41	-2.995732	10.41579
4080	-1292.519	-1289.524	-2.995732	5.752321
4090	-1291.388	-1288.393	-2.995732	10.23575
4100	-1291.368	-1288.372	-2.995732	9.022561
4110	-1291.357	-1288.362	-2.995732	9.672096
4120	-1291.379	-1288.383	-2.995732	10.11911
4130	-1294.311	-1291.316	-2.995732	4.107154
4140	-1291.355	-1288.359	-2.995732	9.535365
4150	-1291.433	-1288.437	-2.995732	8.392037
4160	-1291.683	-1288.688	-2.995732	11.98974
4170	-1291.574	-1288.578	-2.995732	11.49756
4180	-1291.359	-1288.363	-2.995732	9.219256
4190	-1291.475	-1288.48	-2.995732	8.138976
4200	-1293.099	-1290.104	-2.995732	15.88054
4210	-1292.299	-1289.303	-2.995732	13.97469
4220	-1291.508	-1288.513	-2.995732	11.15126
4230	-1291.432	-1288.436	-2.995732	8.397806
4240	-1291.435	-1288.44	-2.995732	10.67102
4250	-1292.12	-1289.124	-2.995732	6.362734
4260	-1291.421	-1288.425	-2.995732	8.474451
