Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
61	0	-4273.215	-4287.427	14.21205	0.102451	0.196434	0.240085	0.212199	0.169223	0.122641	0.100044	0.131666	0.0506153	0.044186	0.0307499	0.0576045	0.0870625	0.198497	0.261848	0.131739	0.0864862	0.307154	0.0142767	0.270529	0.276689	0.157021	0.295761	1.544962
62	0	-4274.804	-4289.132	14.32818	0.123596	0.215255	0.228446	0.184511	0.161104	0.119661	0.0763912	0.143795	0.0618325	0.0804463	0.0244766	0.0477027	0.0661311	0.184155	0.294247	0.129427	0.0602984	0.307076	0.0247971	0.263446	0.275043	0.14966	0.311851	1.533349
63	0	-4275.926	-4291.711	15.78501	0.104768	0.19887	0.232993	0.18784	0.113197	0.115357	0.0836427	0.139117	0.0577413	0.0393937	0.0441003	0.0189523	0.0516922	0.229766	0.234851	0.109495	0.0544631	0.331998	0.0394277	0.266467	0.280573	0.152669	0.30029	1.387666
64	0	-4273.946	-4288.89	14.94441	0.0944559	0.191917	0.242087	0.184277	0.131401	0.148903	0.124511	0.105138	0.054668	0.0587307	0.0345103	0.0313598	0.0697666	0.213459	0.260593	0.15684	0.0451799	0.287883	0.0360462	0.278834	0.260759	0.168314	0.292092	1.471726
65	0	-4272.41	-4286.906	14.49614	0.0911987	0.190072	0.263638	0.207455	0.183506	0.118759	0.0946857	0.134643	0.0785702	0.0423587	0.0317654	0.0242469	0.0556547	0.208635	0.241814	0.117001	0.0717486	0.329621	0.0311806	0.289604	0.255131	0.167683	0.287581	1.516554
66	0	-4275.42	-4289.998	14.57804	0.104571	0.142496	0.23604	0.204031	0.163009	0.133319	0.10173	0.157479	0.0634778	0.0249179	0.0575897	0.0451007	0.074602	0.20829	0.213757	0.119581	0.0744759	0.333297	0.0505998	0.270842	0.266571	0.171361	0.291226	1.508363
67	0	-4272.594	-4287.816	15.22166	0.107825	0.200988	0.224042	0.172338	0.136246	0.136445	0.118614	0.163258	0.0351561	0.0185296	0.040129	0.0221476	0.0682823	0.227496	0.228436	0.133587	0.0621418	0.321683	0.0266558	0.26559	0.269974	0.177674	0.286761	1.444001
68	0	-4270.412	-4284.983	14.57033	0.0934105	0.187916	0.269184	0.214434	0.143688	0.101295	0.0970763	0.155875	0.0707648	0.0339127	0.0452515	0.0316522	0.0646744	0.184584	0.283616	0.138973	0.0407213	0.309989	0.042116	0.289247	0.290519	0.148858	0.271376	1.509135
69	0	-4272.018	-4287.428	15.41032	0.110339	0.131648	0.229643	0.223476	0.142075	0.134487	0.0936514	0.115572	0.0737064	0.0540404	0.0263103	0.02642	0.0637667	0.209889	0.254554	0.126309	0.0454308	0.318177	0.0456408	0.277525	0.26047	0.17568	0.286324	1.425135
70	0	-4271.183	-4287.107	15.92341	0.0885304	0.176873	0.186644	0.217102	0.111808	0.121114	0.0907193	0.130388	0.0645666	0.0568403	0.0240438	0.0609801	0.0442177	0.196356	0.256611	0.162857	0.0422269	0.310564	0.0313867	0.267157	0.269371	0.184691	0.278781	1.373826
71	0	-4278.199	-4292.563	14.36359	0.136414	0.182589	0.246038	0.205367	0.148009	0.138019	0.110629	0.141689	0.0973203	0.0330022	0.0227906	0.0210294	0.046912	0.224171	0.194457	0.155181	0.0424377	0.338879	0.0448739	0.299734	0.258775	0.186897	0.254595	1.529808
