Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
660	-4276.892	-4292.404	15.5123	0.102479	0.161826	0.164712	0.185006	0.16806	0.0935762	0.0943443	0.110397	0.0906026	0.0930259	0.00816588	0.0376622	0.10508	0.196878	0.25624	0.125349	0.0706548	0.326684	0.024194	0.287251	0.270262	0.156707	0.28578	1.414937
670	-4274.559	-4290.135	15.57602	0.116584	0.181307	0.19948	0.154202	0.135365	0.123286	0.093327	0.125143	0.076344	0.0649347	0.0282933	0.0185385	0.0917612	0.18593	0.253656	0.132539	0.0710868	0.310867	0.0459213	0.281282	0.269539	0.144994	0.304185	1.408565
680	-4271.05	-4286.293	15.24301	0.104905	0.181307	0.234369	0.194771	0.158026	0.121647	0.0742327	0.119934	0.0918814	0.0416873	0.016791	0.0528963	0.0494186	0.191298	0.266271	0.139362	0.0688566	0.300856	0.0333564	0.28361	0.26516	0.155558	0.295672	1.441866
690	-4273.553	-4288.499	14.94609	0.090803	0.222638	0.22903	0.161166	0.132249	0.124972	0.116596	0.160736	0.0753058	0.0625718	0.0146317	0.0271129	0.0537464	0.196289	0.271918	0.131034	0.0481663	0.31684	0.0357543	0.273861	0.291234	0.164046	0.270858	1.471559
700	-4274.883	-4290.553	15.66986	0.0939453	0.172205	0.216096	0.193557	0.151679	0.11322	0.099923	0.0884992	0.0626262	0.0709532	0.0251146	0.0429158	0.0684474	0.201146	0.256368	0.146346	0.0676739	0.281039	0.0474275	0.242476	0.290899	0.166599	0.300025	1.399182
710	-4277.819	-4292.271	14.4517	0.103864	0.163084	0.2543	0.173738	0.157949	0.135718	0.113809	0.143019	0.0953811	0.0598533	0.0219218	0.0299125	0.0684474	0.187104	0.237039	0.157816	0.0684433	0.308578	0.0410192	0.294784	0.267325	0.177743	0.260148	1.520998
720	-4269.35	-4285.122	15.77249	0.0870819	0.181373	0.226126	0.20256	0.133599	0.110743	0.0887987	0.114217	0.08621	0.0624736	0.028163	0.0320097	0.0355628	0.211574	0.209624	0.147438	0.0409359	0.346978	0.04345	0.280952	0.259938	0.169014	0.290097	1.388918
730	-4270.425	-4285.981	15.55693	0.0952253	0.179703	0.2129	0.20256	0.134478	0.130051	0.0874979	0.114724	0.0820911	0.0363083	0.0310916	0.0457221	0.0581223	0.20602	0.225912	0.127057	0.0670572	0.327321	0.046633	0.277131	0.2562	0.186422	0.280247	1.410474
740	-4270.276	-4285.755	15.47865	0.0959833	0.176924	0.241148	0.165949	0.140728	0.113975	0.091368	0.116859	0.0688121	0.0722851	0.0198729	0.0355583	0.0788401	0.224307	0.230421	0.144831	0.0443131	0.331749	0.0243781	0.274552	0.256654	0.188395	0.280399	1.418302
750	-4276.014	-4292.083	16.06847	0.0991676	0.161048	0.244443	0.20406	0.141139	0.112188	0.0711034	0.127081	0.0477278	0.0370074	0.0260473	0.0510706	0.0372379	0.216724	0.216505	0.154738	0.032517	0.330444	0.0490727	0.268853	0.267349	0.188531	0.275267	1.35932
760	-4274.713	-4289.82	15.1073	0.115667	0.223123	0.201398	0.173289	0.149479	0.120356	0.121864	0.129338	0.0677981	0.039523	0.0321638	0.0677326	0.0137048	0.222914	0.278711	0.126374	0.0253271	0.299169	0.0475038	0.271487	0.275334	0.171584	0.281594	1.455437
770	-4271.01	-4287.108	16.09825	0.117224	0.163273	0.203757	0.178961	0.160018	0.117243	0.0791858	0.102845	0.0609678	0.0546079	0.0336891	0.0392388	0.0453322	0.220101	0.256005	0.132824	0.0486799	0.303731	0.0386581	0.283656	0.263223	0.173157	0.279964	1.356342
780	-4271.513	-4286.802	15.28984	0.10535	0.149399	0.203982	0.211224	0.138553	0.107379	0.101877	0.141133	0.0745878	0.071206	0.01159	0.0791457	0.0417557	0.21395	0.25293	0.110997	0.057768	0.328009	0.0363467	0.289237	0.266016	0.149108	0.295639	1.437183
790	-4271.782	-4287.114	15.33113	0.117868	0.16269	0.241462	0.196864	0.138553	0.113045	0.0898636	0.126877	0.0728733	0.0673815	0.0107144	0.0716278	0.0232357	0.205926	0.244109	0.121559	0.0738676	0.327768	0.0267707	0.273006	0.290523	0.151577	0.284894	1.433054
800	-4277.79	-4292.235	14.44466	0.0908016	0.21629	0.258766	0.224575	0.151053	0.102667	0.085614	0.126877	0.0543313	0.0855159	0.0190941	0.0615705	0.0445452	0.18637	0.269986	0.127456	0.0568792	0.344139	0.0151709	0.27341	0.274272	0.156329	0.295989	1.521701
810	-4273.99	-4288.841	14.85136	0.119209	0.215516	0.225258	0.219965	0.122235	0.11351	0.0688921	0.134859	0.0840597	0.0476853	0.0236235	0.056661	0.0495565	0.181667	0.293972	0.132713	0.0442034	0.306908	0.0405356	0.29304	0.266845	0.172839	0.267275	1.481031
820	-4274.122	-4289.743	15.62163	0.11575	0.173103	0.193964	0.175888	0.16914	0.0852763	0.101655	0.126514	0.0888441	0.0478874	0.0117224	0.0519438	0.0623172	0.21662	0.243893	0.148789	0.0479822	0.319802	0.0229133	0.255448	0.282436	0.186671	0.275444	1.404004
830	-4272.538	-4288.052	15.51408	0.0860437	0.186212	0.189756	0.192462	0.128108	0.0960616	0.09688	0.149776	0.102925	0.0642381	0.0357639	0.0354438	0.0510893	0.217087	0.237698	0.119805	0.034544	0.358617	0.0322486	0.267601	0.262192	0.186963	0.283244	1.414759
840	-4267.43	-4282.487	15.05691	0.088296	0.206164	0.22924	0.229537	0.127632	0.105986	0.0854581	0.137284	0.0836002	0.0599197	0.0331751	0.0298361	0.0443488	0.183951	0.245602	0.151263	0.0466251	0.329489	0.0430701	0.275798	0.273204	0.170704	0.280294	1.460476
850	-4280.317	-4295.597	15.28073	0.131465	0.206164	0.208355	0.159498	0.151637	0.136552	0.0592687	0.116477	0.0836002	0.0529534	0.0358816	0.0267491	0.0694924	0.204082	0.257577	0.10799	0.0361506	0.339261	0.0549395	0.297689	0.263681	0.164404	0.274226	1.438094
860	-4273.314	-4288.264	14.94962	0.0893494	0.21012	0.234007	0.220808	0.156341	0.114291	0.093132	0.123689	0.0738084	0.0447837	0.00504835	0.0352974	0.0705314	0.206609	0.235057	0.107305	0.0460993	0.362276	0.0426543	0.287148	0.26659	0.170112	0.276149	1.471205
870	-4277.016	-4292.775	15.75836	0.102531	0.155924	0.233651	0.238192	0.13648	0.121655	0.0795708	0.0843164	0.0878765	0.0553013	0.0104558	0.0395578	0.0448184	0.205995	0.262192	0.128373	0.0475042	0.288568	0.067368	0.26821	0.286378	0.166024	0.279388	1.390331
880	-4269.949	-4285.751	15.80201	0.093095	0.164506	0.205753	0.215631	0.138052	0.141118	0.0876585	0.118781	0.045071	0.0624636	0.0234008	0.0470465	0.0433889	0.216403	0.251014	0.132325	0.0652435	0.310015	0.0249993	0.266436	0.26438	0.160682	0.308502	1.385966
890	-4268.167	-4282.89	14.72243	0.108332	0.218795	0.234156	0.223831	0.155215	0.0985207	0.0957394	0.136501	0.0631167	0.0620995	0.0327923	0.0419916	0.0228327	0.215434	0.234111	0.14408	0.044705	0.315939	0.0457315	0.27144	0.288111	0.16422	0.276229	1.493924
