Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
650	-4082.282	-4079.34	-2.942389	0.2904053	0.169959	0.486867	0.494935	0.407154	0.234036	0.2472	0.168247	0.289911	0.0642875	0.0882379	0.0556205	0.20465	0.119044	0.114632	0.210131	0.0692872	0.0242907	0.531675	0.0499835	0.325827	0.299656	0.125015	0.249503	0.00454934	0.0970549	0.579332	3.31906	3.030148
660	-4080.154	-4077.403	-2.750659	0.3312232	0.16281	0.473797	0.591395	0.427042	0.276273	0.171392	0.0994042	0.239514	0.0312441	0.0900991	0.0675598	0.222681	0.157763	0.0788226	0.258832	0.103246	0.0452156	0.503258	0.0106261	0.333954	0.289919	0.132874	0.243253	0.00816662	0.128902	0.644698	3.21823	3.010975
670	-4085.06	-4083.262	-1.798197	0.3038279	0.161182	0.443254	0.631874	0.370791	0.237382	0.114356	0.16764	0.165507	0.0650212	0.0977539	0.0640013	0.256439	0.140527	0.0968672	0.235617	0.104813	0.04426	0.486719	0.0317238	0.319842	0.310156	0.126304	0.243699	0.00561096	0.107476	0.602176	3.28474	2.915728
680	-4078.862	-4078.649	-0.2130892	0.3343726	0.126568	0.48737	0.455353	0.359324	0.255962	0.203651	0.121481	0.267941	0.0646432	0.123609	0.0430687	0.139006	0.109241	0.0880413	0.267494	0.109777	0.0760076	0.43614	0.0225403	0.313935	0.312164	0.122636	0.251265	0.0084932	0.131365	0.649259	3.21088	2.757218
690	-4084.704	-4080.974	-3.729873	0.3451174	0.206501	0.557883	0.591503	0.409428	0.245454	0.224396	0.15818	0.237886	0.0135834	0.124276	0.122993	0.16462	0.0521932	0.0755545	0.301944	0.111247	0.0465074	0.448752	0.0159947	0.302988	0.317622	0.118359	0.261031	0.00965686	0.139754	0.664347	3.18624	3.108896
700	-4087.392	-4089.355	1.963082	0.3547494	0.176706	0.339977	0.509096	0.322409	0.156873	0.239806	0.168472	0.21563	0.0129059	0.0558403	0.0973566	0.138791	0.105738	0.0922358	0.241054	0.0529802	0.0544993	0.455451	0.10378	0.338645	0.295723	0.129446	0.236186	0.0107637	0.147244	0.677276	3.16472	2.539601
710	-4089.204	-4092.073	2.868847	0.4227386	0.136317	0.375799	0.335221	0.366012	0.179052	0.242016	0.142364	0.318146	0.0301392	0.0608633	0.0835304	0.138791	0.0407737	0.10372	0.217747	0.0976246	0.0433478	0.519529	0.0180307	0.342892	0.293407	0.125757	0.237943	0.0201268	0.198528	0.754759	3.02659	2.449024
720	-4083.221	-4081.64	-1.581756	0.3955959	0.171673	0.475263	0.415392	0.360645	0.296478	0.222265	0.142118	0.298363	0.00880651	0.170811	0.038551	0.103457	0.190263	0.0892337	0.186345	0.110817	0.0209913	0.525076	0.0675369	0.328192	0.293504	0.14218	0.236125	0.0160842	0.178459	0.726471	3.07899	2.894084
730	-4086.04	-4081.353	-4.68651	0.3264281	0.206068	0.600823	0.549765	0.408369	0.284135	0.178477	0.131265	0.218908	0.0104668	0.127013	0.233814	0.0353964	0.22006	0.0799582	0.215218	0.116922	0.0180178	0.488523	0.0813608	0.337242	0.285354	0.139686	0.237718	0.00768217	0.125149	0.637629	3.22954	3.20456
740	-4080.238	-4075.291	-4.946841	0.330929	0.201941	0.568041	0.621358	0.506555	0.233639	0.226633	0.15611	0.186617	0.00962245	0.0974732	0.126405	0.0684936	0.227704	0.0718498	0.222312	0.128132	0.036302	0.504625	0.0367797	0.323807	0.309854	0.127803	0.238536	0.00813644	0.128672	0.644269	3.21892	3.230593
